1.22,1.22,1.22,8.9715E-12,nan,nan,True,,,,,,,,,,,,,,,,,,,True
1.81,1.81,1.81,2.7033E-12,8.7828E-13,8.5899E-13,False,,,,,,,,,,,,,,,,,,,
2.7,2.7,2.7,2.371E-12,8.9476E-13,8.8875E-13,False,,,,,,,,,,,,,,,,,,,
4.95,4.95,4.95,1.7245E-12,6.0025E-13,5.9842E-13,False,,,,,,,,,,,,,,,,,,,
9.55,9.55,9.55,1.2613E-12,4.3646E-13,4.2879E-13,False,,,,,,,,,,,,,,,,,,,
16.48,16.48,16.48,1.7479E-12,3.9136E-13,3.9124E-13,False,,,,,,,,,,,,,,,,,,,
33,33,33,1.0986E-12,3.547E-13,3.5527E-13,False,,,,,,,,,,,,,,,,,,,
66.79,66.79,66.79,9.9245E-13,3.2582E-13,3.3499E-13,False,,,,,,,,,,,,,,,,,,,
120.51,120.51,120.51,4.9417E-13,2.8164E-13,2.7845E-13,False,,,,,,,,,,,,,,,,,,,
224.06,224.06,224.06,1.0871E-12,4.2099E-13,4.2925E-13,False,,,,,,,,,,,,,,,,,,,
