2.12,2.12,2.12,2.4764E-12,nan,nan,True,,,,,,,,,,,,,,,,,,,True
3,3,3,2.116E-12,nan,nan,True,,,,,,,,,,,,,,,,,,,
4.5,4.5,4.5,3.8213E-12,9.1434E-13,9.2421E-13,False,,,,,,,,,,,,,,,,,,,
7.56,7.56,7.56,2.6822E-12,6.5181E-13,6.9049E-13,False,,,,,,,,,,,,,,,,,,,
11.61,11.61,11.61,3.9922E-12,6.0312E-13,5.8706E-13,False,,,,,,,,,,,,,,,,,,,
18.04,18.04,18.04,4.1859E-12,5.0349E-13,5.028E-13,False,,,,,,,,,,,,,,,,,,,
31.14,31.14,31.14,3.6496E-12,4.916E-13,4.9188E-13,False,,,,,,,,,,,,,,,,,,,
53.85,53.85,53.85,1.8255E-12,4.8746E-13,4.5419E-13,False,,,,,,,,,,,,,,,,,,,
83.79,83.79,83.79,1.0283E-12,5.3722E-13,5.4461E-13,False,,,,,,,,,,,,,,,,,,,
127.81,127.81,127.81,2.7295E-12,nan,nan,True,,,,,,,,,,,,,,,,,,,
