1.41,1.41,1.41,1.5945E-11,4.901E-12,5.3017E-12,False,,,,,,,,,,,,,,,,,,,True
2.03,2.03,2.03,1.1689E-11,1.676E-12,1.7058E-12,False,,,,,,,,,,,,,,,,,,,
2.98,2.98,2.98,1.482E-11,1.7193E-12,1.6873E-12,False,,,,,,,,,,,,,,,,,,,
5.17,5.17,5.17,1.436E-11,1.4456E-12,1.4006E-12,False,,,,,,,,,,,,,,,,,,,
9.2,9.2,9.2,9.1278E-12,1.1029E-12,1.0766E-12,False,,,,,,,,,,,,,,,,,,,
14.91,14.91,14.91,9.0496E-12,9.256E-13,9.1824E-13,False,,,,,,,,,,,,,,,,,,,
27.4,27.4,27.4,4.7312E-12,7.6108E-13,7.6535E-13,False,,,,,,,,,,,,,,,,,,,
49.41,49.41,49.41,2.5151E-12,7.6429E-13,7.2337E-13,False,,,,,,,,,,,,,,,,,,,
80.1,80.1,80.1,1.3896E-12,nan,nan,True,,,,,,,,,,,,,,,,,,,
126.24,126.24,126.24,3.086E-12,nan,nan,True,,,,,,,,,,,,,,,,,,,
